Investor,Type,Ticket,Contact path (URL/email),Fit,Contacted,Reply,Demo booked,Status
"Angel CoFund (British Business Bank)",Government co-investment fund,"£100k-1m",https://www.acfinvestors.com/,Co-invests with angel syndicates; cannot apply direct; NEXT round not £25k,no,,,,Hold-next-round
"Regional Angels Programme (BBB)",Co-investment via regional networks,"£100k+",https://www.british-business-bank.co.uk/finance-options/equity-finance/regional-angels-programme,Larger co-invest; goes via local angel network; NEXT round,no,,,,Hold-next-round
"South East Investment Fund (BBB)",Regional loans/equity,"from £25k",https://www.british-business-bank.co.uk/finance-options/nations-and-regions-investment-funds/south-east-investment-fund,Launches summer 2026; loans from £25k-£2m; your region; watch for opening,no,,,,Watch-for-launch
"SFC Capital",SEIS fund (national),SEIS rounds,https://sfccapital.com/raise,UK's leading SEIS fund; B2B software is #1 sector; 600+ companies,no,,,,QUEUE-FIRST
"Ascension",VC pre-seed/seed (national),£150k-850k,https://www.ascension.vc/founders,UK-wide; reviews every app in a week; B2B-heavy,no,,,,QUEUE (bigger round angle)
"Firestartr",Venture platform/syndicate (national),seed stage,https://firestartr.co/,UK-wide internet/software seed; EIS,no,,,,Queue
"UKBAA TechInvest showcase",Pitch showcase (national),n/a,https://ukbaa.org.uk/membership/angel-hubs/,Free national pitching to many angels,no,,,,Queue
"Angels Den",Angel network + platform,"£25k avg",https://app.angelsden.com/apply,Spot-on size; SEIS small deals,no,,,,Queue
"Angel Investment Network (AIN)",Angel marketplace,"£1k+",https://www.angelinvestmentnetwork.co.uk/entrepreneur/register,Wide national SEIS reach,no,,,,Queue
"Cambridge Angels",Angel syndicate,n/a,https://www.cambridgeangels.com/apply-to-cambridge-angels,SaaS-savvy operator angels; office hours,no,,,,Queue
"Envestors (Envestry)",Investor network,"£10k+",https://envestors.envestry.com/raising,SEIS/EIS micro-raises,no,,,,Queue
"London Business Angels",Angel network,"£10-20k",https://www.londonbusinessangels.com,Established SEIS/EIS network; confirm intake,no,,,,Queue
"Angel Investors Bristol (AIB)",REGIONAL (SW) - SKIP unless SW base,"£50-250k",https://angel.scoreapp.com,Needs SW presence,no,,,,SKIP-regional
"NorthInvest",REGIONAL (North) - SKIP unless N base,small rounds OK,https://northinvest.co.uk/raise/,Needs North presence,no,,,,SKIP-regional
"GC Angels",REGIONAL (Manchester/NW) - SKIP unless NW base,n/a,https://www.gcangels.co.uk,NW early-stage,no,,,,SKIP-regional
"Minerva Business Angels",WM + national (ask re remote),"£50k-1m",https://www.minerva-ba.co.uk,Ask if remote founder accepted,no,,,,Queue-ask
"UKBAA",Umbrella body,n/a,https://ukbaa.org.uk/membership/angel-hubs/,Unlocks regional hubs + showcases,no,,,,Queue
"BAR (British Association of Removers)",Sector body,n/a,https://bar.co.uk/partnerships-and-affiliates/,Buyer segment + operator angels,no,,,,Queue
"FMB (Federation of Master Builders)",Sector body,n/a,membership@fmb.org.uk,Builders buyers + operator angels,no,,,,Queue
"Legal Geek",Legal-tech community,n/a,https://www.legalgeek.co,Probate-firm buyers + legal angels,no,,,,Queue
"STEP",Professional body,n/a,https://www.step.org,Probate practitioners network,no,,,,Queue
"Crowd for Angels",Crowdfunding,"£75k+ viable",https://www.crowdforangels.com/funding,Only if round grows to £75k+,no,,,,Hold
"Crowdcube",Crowdfunding,"£250k+",https://www.crowdcube.com,Next round only,no,,,,Hold
"Seedrs (Republic)",Crowdfunding,"£150k+",https://www.seedrs.com,Next round only,no,,,,Hold
"Start Up Loans (BBB)",Government loan,"up to £25k",https://apply.startuploans.co.uk/s/register,Non-dilutive top-up; 12mo mentoring,no,,,,Queue
"HMRC SEIS Advance Assurance",Tax scheme,n/a,https://www.gov.uk/guidance/venture-capital-schemes-apply-for-advance-assurance,DO FIRST - unlocks every angel,no,,,,QUEUE-FIRST
"Microsoft Founders Hub",Accelerator (free),n/a,https://foundershub.startups.microsoft.com,Credibility + mentorship,no,,,,Optional
"Barclays Eagle Labs",Accelerator (free),n/a,https://labs.uk.barclays,Free support + angel intros,no,,,,Optional
"Google for Startups UK",Accelerator (free),n/a,https://startups.google.com,Community + showcases,no,,,,Optional
"SETsquared",Incubator network,n/a,https://www.setsquared.co.uk,SW incubator + angel arm,no,,,,Optional
"Innovate UK (IFS)",Government grant,"£25k+",https://www.apply-for-innovation-funding.service.gov.uk,Only with genuine innovation angle,no,,,,Hold
"Growth Hub / Bus. Support Helpline",Local advice/grants,"£1k-10k",https://www.gov.uk/business-support-helpline,Free local advice + micro grants,no,,,,Optional
"Existing customers / 8 trial firms",Warm operators,"£2.5-5k",,Warmest cheques; sector fit,no,,,,Pitch after AA
"Local operator angels (BAR/FMB/legal)",Warm operators,"£2.5-5k",,Operators who get it,no,,,,Pitch after AA
